title,rating,Sentiment_score,movieId
102 Dalmatians,4.8,4.393153862,3991
10th & Wolf,6.3,5.199127216,5035
12 Angry Men,9.0,8.037602432,1203
12 Rounds,5.6,4.847429305,61729
12 Years a Slave,8.1,7.048303123,6297
13 Going on 30,6.3,5.517548288,8814
15 Minutes,6.1,4.692688196,4167
16 Blocks,6.6,6.240840307,43936
17 Again,6.4,5.915443893,68135
2 Guns,6.7,5.932997241,103883
20 Dates,5.6,4.205818597,2492
"20,000 Leagues Under the Sea",7.2,6.715866109,7160
200 Cigarettes,6.0,5.184814819,4017
2001: A Space Odyssey,8.3,6.796798172,27434
2016: Obama's America,4.8,3.688114337,89523
21 Grams,7.6,6.372513026,57
21 Jump Street,7.2,6.359187121,93510
22 Jump Street,7.0,5.961973977,112138
25th Hour,7.6,6.773821463,4429
27 Dresses,6.1,4.881413493,2539
28 Days,6.1,5.056967173,3534
28 Days Later,7.5,6.853748047,1259
3 Backyards,5.0,4.286861491,88423
3 Days to Kill,6.2,5.368091763,151
3 Ninjas Kick Back,4.6,5.109894087,80831
3 Strikes,4.7,5.270368494,46967
30 Days of Night,6.6,5.98277807,5524
30 Minutes or Less,6.1,5.046682772,76251
3000 Miles to Graceland,6.0,4.816514243,4159
300: Rise of an Empire,6.2,4.96282166,109673
3:10 to Yuma,7.6,6.606246214,5300
42nd Street,7.3,6.762086493,7080
47 Ronin,6.2,5.167855473,106491
5 Days of War,5.5,4.270844903,93610
50 First Dates,6.8,6.279532186,7293
50/50,7.6,6.893037438,5664
51 Birch Street,7.3,7.425765953,58610
8 Heads in a Duffel Bag,5.4,4.512649964,4685
8 Mile,7.2,6.881250803,5810
88 Minutes,5.9,4.460403,5478
8: The Mormon Proposition,7.1,5.365265585,65633
8MM,6.6,5.785771219,2505
A Home at the End of the World,6.6,6.184442647,27831
A Most Violent Year,6.9,6.0846799,8959
A.I. Artificial Intelligence,7.2,6.074704274,4370
Abandon,4.8,4.350304653,58876
Abandoned,6.3,6.19242082,60766
Abduction,5.1,3.341929417,108445
Aberdeen,7.1,6.888043069,8667
About Schmidt,7.2,5.855522737,72011
About Time,7.8,7.400115967,5255
About a Boy,7.1,6.696155416,91873
Abraham Lincoln: Vampire Hunter,5.9,4.743812621,95207
Absentia,7.2,5.996043061,93819
Absolute Power,6.7,6.299489816,1459
Ace Ventura: When Nature Calls,6.4,5.072741863,3916
Across the Universe,7.3,5.882076783,54190
Action Jackson,5.6,4.880586709,2528
Adam,7.1,6.062372652,2160
Adam Resurrected,6.2,4.920886828,71691
Addicted,5.0,3.429877834,113780
Adore,6.2,5.534964757,2569
Adventureland,6.8,5.825242913,77818
After Earth,4.8,3.131113222,102880
After the Sunset,6.2,5.517024555,8968
Against the Ropes,5.3,4.261420454,7315
Agent Cody Banks,5.1,4.373086261,8641
Agent Cody Banks 2: Destination London,4.6,4.045959921,72605
Agora,7.1,6.542518435,74624
Air Bud,5.3,4.832812315,2530
Air Force One,6.5,5.745924761,1608
Airplane!,7.7,7.192888937,1952
Akeelah and the Bee,7.4,6.747561828,2888
Aladdin,8.0,7.451984537,2883
Albert Nobbs,6.7,5.484769119,8800
Albino Alligator,6.1,5.328933396,101
Alex Cross,5.2,3.866391578,7366
Alexander,5.6,4.377458802,8977
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",6.2,5.383226978,4030
Alexander's Ragtime Band,6.8,6.458580649,7256
Alfie,6.2,5.245634756,4191
Ali,6.7,5.552840643,5009
Alice in Wonderland,6.4,5.272652574,1032
Alien,8.5,7.859861974,94469
Aliens in the Attic,5.4,4.983297126,70282
Alive,7.1,6.330697835,85414
All Good Things,6.3,5.543223963,116092
All Is Lost,6.9,5.698426722,71327
All That Jazz,7.8,6.931657729,2971
All or Nothing,7.5,6.55713004,6406
All the King's Men,6.1,5.239661018,1942
All the Pretty Horses,5.8,4.512659739,4031
Almost Famous,7.9,7.289521157,3897
Aloft,5.3,4.456492631,33421
Alone in the Dark,2.4,2.352859336,97832
Along Came Polly,6.0,5.654711175,7173
Along Came a Spider,6.4,5.821539053,2115
Alpha and Omega,5.1,4.156586585,26750
Alvin and the Chipmunks,5.3,4.436183732,56176
Alvin and the Chipmunks: Chipwrecked,4.4,3.904322995,91671
Alvin and the Chipmunks: The Squeakquel,4.6,3.761652893,73042
America's Sweethearts,5.7,4.602915081,4639
American Gangster,7.8,6.650693913,55765
American Heist,5.0,3.847111159,3177
American History X,8.5,7.467162141,84615
American Hustle,7.2,6.018856206,106916
American Ninja 2: The Confrontation,5.0,5.05579463,4566
American Outlaws,5.9,4.640220398,56805
American Pie 2,6.4,6.173392805,2694
American Psycho,7.6,6.40235008,69253
American Sniper,7.3,6.174659311,114662
American Splendor,7.4,6.711026962,1914
Amigo,6.4,7.022880188,38435
Amistad,7.3,6.515950711,1693
Among Giants,5.9,5.173605077,1236
Amour,7.9,6.664313565,115151
Anaconda,4.9,4.660359683,1499
Anacondas: The Hunt for the Blood Orchid,4.7,4.57544214,52694
Analyze That,5.9,4.839522529,5900
Analyze This,6.7,6.293109052,30707
Anastasia,7.1,7.171443881,1688
Anchorman 2: The Legend Continues,6.3,4.556113325,107348
Anchorman: The Legend of Ron Burgundy,7.1,5.980639997,31427
Angel Eyes,5.7,4.827619546,4305
Angela's Ashes,7.3,6.444804842,54256
Angels & Demons,6.7,5.753545972,68554
Anna Karenina,6.6,5.842291713,1496
Anna and the King,6.7,6.046688127,3155
Annabelle,5.4,3.723239277,86781
Anne of Green Gables,8.5,8.643360178,8512
Annie,5.4,3.844688525,4039
Annie Get Your Gun,6.9,5.828272433,26142
Annie Hall,8.0,6.947961141,6711
Anonymous,6.8,5.788163453,44665
Another Earth,6.9,5.437894306,89039
Another Happy Day,6.0,4.938391554,89072
Another Year,7.4,6.265734179,3260
Antitrust,6.1,4.603350053,105351
Antiviral,5.7,4.858266649,2947
Antz,6.5,5.833312239,2294
Any Given Sunday,6.9,6.122707628,3173
Anywhere But Here,6.2,5.521596591,4821
Apocalypse Now,8.4,7.501005625,110229
Apocalypto,7.8,6.983029931,48304
Apollo 13,7.7,6.90560116,150
Apollo 18,5.2,4.262412553,4950
Appaloosa,6.7,6.34015281,45
April Fool's Day,6.1,5.618970258,1985
Arachnophobia,6.5,6.18558145,4815
Arbitrage,6.6,6.091696322,104374
Are We There Yet?,4.8,3.554369061,63540
Argo,7.7,6.52536844,97304
Arlington Road,7.2,6.200257568,1390
Armageddon,6.7,5.730542295,1917
Armored,5.7,4.37067909,61348
Army of Darkness,7.4,6.997331493,8966
Around the World in 80 Days,5.9,4.445328164,952
Arthur Christmas,7.1,7.106910455,91414
"As Above, So Below",6.3,5.171458317,106064
As Good as It Gets,7.7,6.504276627,1784
Assassins,6.3,5.97817653,23
Assault on Precinct 13,6.3,5.340313938,43928
Astro Boy,6.2,5.499530092,72209
At First Sight,6.0,5.302806908,2445
Atlantis: The Lost Empire,6.9,6.627522238,4366
Atonement,7.8,7.379223804,31223
August Rush,7.4,7.033845888,110346
August: Osage County,7.2,6.191200432,124859
Austin Powers in Goldmember,6.2,5.468812154,5481
Austin Powers: The Spy Who Shagged Me,6.7,5.665317631,2683
Australia,6.6,5.574271363,63853
Auto Focus,6.7,5.542987883,77421
Autumn in New York,5.6,4.244423972,3824
Avatar,7.9,6.954778331,72998
Awake,6.5,5.82754108,90474
Away We Go,7.0,6.241410025,58627
Babe,6.9,6.477436733,4153
Babe: Pig in the City,5.8,5.135653123,2384
Babel,7.5,6.206897563,80350
Baby Mama,6.0,5.425356654,34534
Baby's Day Out,6.2,5.542881777,5096
Babylon A.D.,5.5,4.471817309,61350
Bachelorette,5.3,3.357954186,3193
Back to the Future,8.5,8.14444091,1407
Back to the Future Part II,7.8,7.003614305,2011
Back to the Future Part III,7.4,6.861906204,2012
Bad Boys,6.8,6.494535764,71535
Bad Boys II,6.6,5.604308538,6548
Bad Company,5.6,4.752839238,384
Bad Teacher,5.7,4.274678882,590
Bad Words,6.6,5.55167792,5347
Baggage Claim,5.1,3.888621073,73023
Baghead,5.4,4.556368461,60044
Bait,5.2,4.3787274,77820
Ballistic: Ecks vs. Sever,3.7,2.158229002,5609
Bamboozled,6.7,5.825758299,92448
Bananas,6.9,6.428169116,75438
Bandidas,5.7,5.140775735,81819
Bandits,6.5,5.579723216,2562
Bandslam,6.3,5.778893222,5918
Bangkok Dangerous,5.3,4.139164777,4868
Barbarella,5.9,5.269692575,105620
Barney's Version,7.3,6.516720434,7169
Barry Lyndon,8.1,7.034063228,127108
Barry Munday,5.8,5.216352843,106450
Basic,6.4,5.504555029,6263
Basic Instinct 2,4.4,3.321398009,44759
Basquiat,6.9,5.877922236,2500
Bathing Beauty,6.4,5.892248106,52952
Batman,7.5,7.038782295,592
Batman,7.5,7.038782295,126775
Batman & Robin,3.8,3.098625025,1562
Batman Begins,8.2,6.93762073,33794
Batman Forever,5.4,4.811663138,153
Batman Returns,7.1,6.506023418,1377
"Batman: The Dark Knight Returns, Part 2",8.3,7.264404935,32300
Bats,4.1,3.983717782,44864
Battle for the Planet of the Apes,5.4,4.999264982,95558
Battle of the Year,5.0,3.287668019,43926
Battlefield Earth,2.5,1.963751068,3593
Battleship,5.8,4.852092367,94018
Be Cool,5.6,4.822830954,32019
Be Kind Rewind,6.4,5.469115252,4749
Beastmaster 2: Through the Portal of Time,4.1,3.095151537,5951
Beasts of the Southern Wild,7.2,6.206726711,750
Beautiful Creatures,6.1,4.885332357,4242
Beauty Shop,5.6,4.480032476,4387
Because I Said So,5.6,4.342272307,50802
Bedazzled,6.1,5.585487827,3968
Bedtime Stories,6.0,5.240621906,65088
Bee Movie,6.1,5.166922944,55768
Beer League,5.9,4.708551469,3094
Before I Go to Sleep,6.3,5.741534374,57370
Before Midnight,7.9,6.769290214,44844
Before Sunrise,8.1,7.089074222,8784
Before Sunset,8.1,7.289295054,6620
Begin Again,7.4,6.344867878,1442
Beginners,7.2,6.588791713,70567
Behind Enemy Lines,6.4,5.426301005,4958
Bella,7.1,6.15695306,3581
Beloved,6.1,4.674682639,2314
Ben-Hur,5.7,4.910929866,1287
Bend It Like Beckham,6.7,5.934050515,106066
Beneath Hill 60,7.0,6.48062198,116215
Beneath the Planet of the Apes,6.0,4.997540353,971
Benji,6.1,5.463083653,3672
Beowulf,6.3,4.886827496,27003
Bernie,6.8,6.546158134,1986
Best in Show,7.5,6.840010454,3792
Better Luck Tomorrow,7.0,5.896464436,6288
Beverly Hills Chihuahua,3.9,3.61439845,1388
Beverly Hills Cop II,6.6,6.171633072,43932
Beverly Hills Cop III,5.5,4.16624961,420
Beyond Borders,6.4,5.455372924,6886
Beyond the Lights,6.8,6.454474958,4682
Beyond the Mat,7.6,6.977809215,3327
Beyond the Sea,6.7,5.961148222,89388
Bicentennial Man,6.9,6.306454777,3156
Big Daddy,6.4,5.83809244,5991
Big Eyes,7.0,6.059191272,2718
Big Fish,8.0,7.199974781,7147
Big Hero 6,7.8,6.706103193,115617
Big Miracle,6.5,5.707129677,92335
Big Momma's House,5.2,4.734188123,4224
Big Momma's House 2,4.8,4.000565088,43558
"Big Mommas: Like Father, Like Son",4.5,4.117369983,87785
Big Trouble,6.4,5.254787789,4774
Big Trouble in Little China,7.2,6.968995709,33672
Bill & Ted's Bogus Journey,6.3,5.740319778,2154
Bill & Ted's Excellent Adventure,6.9,6.854312163,4744
Billy Elliot,7.7,7.289192659,45728
Birth,6.3,4.719830385,70643
Biutiful,7.4,6.606934389,3117
Black Christmas,4.7,4.1025633,3039
Black Hawk Down,7.7,6.748841355,5010
Black Knight,4.9,3.744638005,86817
Black Rain,6.6,5.875475895,78316
Black or White,6.6,6.35777363,5756
Blackhat,5.5,3.772082604,120637
Blackthorn,6.5,6.378683943,5134
Blade,7.1,6.745084151,2167
Blade II,6.7,5.883433346,5254
Blade Runner,8.1,6.685603944,40629
Blade: Trinity,5.8,5.008664602,8985
Blades of Glory,6.3,5.802573779,52245
Blast from the Past,6.7,6.513740019,57526
Blazing Saddles,7.7,7.025203946,4401
Blended,6.5,5.87357743,111617
Bless the Child,5.1,3.997861792,3857
Blindness,6.5,5.625804703,33148
Blonde Ambition,3.9,2.917638313,74647
Blood Diamond,8.0,6.768715097,49530
Blood Done Sign My Name,6.5,6.245418752,8387
Blood Ties,6.5,5.916187101,8830
Blood Work,6.4,5.573578102,5506
BloodRayne,3.0,2.882820579,6955
Bloodsport,6.8,6.385771207,50685
Bloody Sunday,7.6,6.905233882,5632
Blow,7.5,6.93356363,86882
Blue Crush,5.7,5.027957878,80222
Blue Ruin,7.1,6.904077232,111384
Blue Streak,6.4,5.713058233,2860
Body Double,6.8,5.917121761,1115
Body of Lies,7.0,6.067939424,62374
Bogus,5.4,5.605299419,75985
Boiler Room,7.0,6.307551524,3225
Bolt,6.8,6.774221125,63859
Boogeyman,4.2,3.228559395,118700
Boom Town,7.0,6.633135088,93265
Boomerang,5.6,4.573582355,122
Bottle Rocket,6.9,6.241818712,6705
Bottle Shock,6.8,5.822699537,45512
Bound,7.3,6.711353236,5954
Bowfinger,6.5,5.54640211,2770
Bowling for Columbine,8.0,6.81676134,81417
Boyhood,7.9,7.181205635,4553
Boys Don't Cry,7.5,6.59408696,1207
Bran Nue Dae,6.2,5.822918772,114713
Brave,7.1,6.271893745,95167
Braveheart,8.3,7.186897671,110
Breakdown,7.0,6.757651012,1518
Breakfast of Champions,4.5,3.102188854,57393
Breakin' All the Rules,5.6,6.04364093,5980
Breaking Upwards,6.0,4.237074305,87964
Brick Lane,6.6,5.896927765,33649
Brick Mansions,5.6,4.88861225,104241
Bride & Prejudice,6.2,5.137117075,2836
Bride Wars,5.5,4.02963265,1888
Bridesmaids,6.8,6.310755661,45666
Bridge to Terabithia,7.2,6.45740013,43679
Bridget Jones's Diary,6.8,6.135603162,108156
Bridget Jones: The Edge of Reason,6.0,4.955229909,8969
"Bright Lights, Big City",5.7,4.715485938,49642
Bright Star,6.9,5.871143945,4775
Brighton Rock,5.7,4.777319383,52356
Bring It On,6.1,5.195467194,1663
Bringing Down the House,5.6,4.568959009,4084
Bringing Out the Dead,6.9,5.87602456,7450
Brokedown Palace,6.4,5.745439615,5677
Broken Arrow,6.1,4.970831496,95
Broken City,6.1,5.126877716,59014
Bronson,7.0,6.258982418,70728
Brooklyn,7.5,6.692194538,5983
Brooklyn Rules,6.3,5.556344184,45382
Brothers,7.1,5.884293023,7027
Brown Sugar,6.5,6.306123429,8340
Bruce Almighty,6.8,6.084278067,6373
Bucky Larson: Born to Be a Star,3.3,2.404023083,45503
Bulletproof Monk,5.5,4.751475648,6294
Bullets Over Broadway,7.4,6.790652713,68205
Bully,6.9,5.635785502,65300
Bulworth,6.8,5.233922045,6482
Buried,7.0,6.221248554,6547
Burlesque,6.4,5.345467544,83086
Burn After Reading,7.0,6.372476614,61323
Butch Cassidy and the Sundance Kid,8.0,7.113262786,8622
Butterfly Girl,8.3,9.782238611,118920
By the Sea,5.3,4.125535428,5903
C.H.U.D.,5.6,4.932231436,4222
Cabin Fever,3.7,2.305736541,44892
Caddyshack,7.2,6.718734451,1947
Cadillac Records,7.0,6.063607273,127096
Can't Hardly Wait,6.5,6.294795516,31445
Can't Stop the Music,4.3,3.10559584,62511
Cape Fear,7.3,6.524312037,100390
Capitalism: A Love Story,7.4,6.172793191,1107
Capote,7.3,6.667603918,39292
Capricorn One,6.8,6.196562535,107402
Captain America: The First Avenger,6.9,6.500771364,88140
Captain America: The Winter Soldier,7.7,7.386551298,110102
Captain Corelli's Mandolin,5.9,4.522721002,4727
Captain Phillips,7.8,7.267768307,105504
Cargo,6.1,5.250074231,3846
Carnage,7.1,6.405585701,42721
Carrie,5.8,5.29342785,87522
Carriers,6.0,5.080124303,73168
Cars,7.2,6.674160533,45517
Cars 2,6.2,4.925391543,87876
Case 39,6.2,5.684676734,2093
Casino,8.2,7.800883805,16
Casino Royale,8.0,7.002140726,5796
Casper,6.2,6.175163873,158
Cast Away,7.8,7.424805464,4022
Cat on a Hot Tin Roof,7.9,6.96303717,5513
Catch Me If You Can,8.1,7.132893437,5989
Cats & Dogs,5.2,4.165637032,4386
Cats Don't Dance,6.9,7.003516293,885
Catwoman,3.4,2.641888413,8666
Cedar Rapids,6.3,5.842521022,95309
Celebrity,6.3,5.387129959,49220
Cellular,6.5,5.97866932,8860
Chain Letter,4.1,2.827367951,92719
Chain Reaction,5.7,5.124889692,836
Chain of Command,3.5,2.22659613,2791
Chairman of the Board,2.3,2.759192066,74582
Changeling,7.7,7.462487087,63062
Changing Lanes,6.5,5.6450666,5293
Chappie,6.8,5.780634352,120466
Chariots of Fire,7.1,6.639530598,47815
Charlie St. Cloud,6.4,5.613397385,79588
Charlie Wilson's War,7.0,6.106715442,56788
Charlie and the Chocolate Factory,6.7,6.04156692,30793
Charlie's Angels,5.6,4.379845033,3977
Charlie's Angels: Full Throttle,4.9,3.304927893,6503
Charlotte's Web,6.3,5.685084531,2137
Chasing Amy,7.2,6.22630814,1639
Chasing Liberty,6.1,5.116999178,7449
Chasing Mavericks,7.1,6.897863073,3163
Cheap Thrills,6.7,5.780744026,109742
Cheaper by the Dozen,5.9,4.826437607,7161
Cheaper by the Dozen 2,5.5,4.795057814,42009
Chicago,7.2,6.543335596,21
Chicago Overcoat,5.9,5.637857382,26172
Chicken Little,5.7,4.73511563,40339
Chicken Run,7.1,6.700616087,3751
Child's Play,6.7,6.304354627,998
Children of Men,7.9,7.03107079,48774
Chill Factor,5.2,3.93274536,120380
Chocolat,7.2,6.77279984,4246
Choke,6.4,5.191391987,90439
Christmas Eve,5.0,4.863997128,49121
Christmas with the Kranks,5.5,4.493855713,8978
Chuck & Buck,6.6,5.843322397,3794
Cinderella,6.9,6.997269981,1022
Cinderella Man,8.0,7.169634148,33660
Cirque du Freak: The Vampire's Assistant,5.8,5.393027022,72165
Cirque du Soleil: Worlds Away,6.7,6.009841776,39419
City Hall,6.2,5.378303004,100
City Island,7.3,6.704917208,2504
City of Angels,6.7,6.043453792,1835
City of Ember,6.4,5.296909613,62376
Civil Brand,5.1,5.566959475,6697
Clash of the Titans,5.8,4.338440268,5540
Class of 1984,6.5,6.15499337,59440
Clay Pigeons,6.6,6.003008599,6642
Clear and Present Danger,6.9,6.440413653,349
Cleopatra,7.0,6.309506889,4274
Clerks,7.7,6.88495352,223
Clerks II,7.3,6.550151093,110591
Click,6.4,5.599396993,45672
Cliffhanger,6.5,6.136274488,434
Clockstoppers,5.2,4.038901227,30822
Clockwatchers,6.6,6.197710053,4772
Close Encounters of the Third Kind,7.6,7.251663661,2953
Closer,7.2,6.187541262,6629
Closer to the Moon,6.7,5.639513568,103834
Cloud Atlas,7.4,6.570349041,97752
Cloudy with a Chance of Meatballs,6.9,6.266887081,71264
Cloudy with a Chance of Meatballs 2,6.3,5.738274998,105468
Cloverfield,7.0,5.604223602,4990
Club Dread,5.7,4.180556683,115569
Coach Carter,7.3,6.742850014,31225
Code 46,6.1,5.379765032,71248
Code Name: The Cleaner,4.6,4.103410492,72741
Coffee Town,6.5,6.484432526,102245
Cold Mountain,7.2,6.637466918,7162
Collateral,7.5,6.551217022,8798
Collateral Damage,5.5,4.35133142,5093
College,4.6,2.642262235,71466
Colombiana,6.4,5.713119493,89087
Come Early Morning,6.2,5.831412557,88138
Commando,6.7,6.713292088,3704
Compliance,6.4,5.201692208,96612
Con Air,6.9,6.325251835,1552
Conan the Barbarian,6.9,6.79016698,1587
Concussion,7.1,6.117242143,7380
Confessions of a Dangerous Mind,7.0,5.220033535,64620
Congo,5.3,5.167472533,160
Connie and Carla,6.3,5.229410935,50153
Conquest of the Planet of the Apes,6.1,5.489695806,6063
Conspiracy Theory,6.7,6.224660611,1597
Contact,7.5,6.685098727,1584
Contagion,6.8,6.151793715,89470
Contraband,6.4,5.581655274,875
Control,7.6,6.562730064,86606
Conversations with Other Women,6.9,6.04554233,48342
Cop Out,5.5,4.332988769,74532
Copycat,6.6,6.152668552,8917
Copying Beethoven,6.7,5.649056987,40342
Coraline,7.8,6.895156346,66097
Coriolanus,6.1,5.141318121,116841
Corky Romano,4.7,4.059825976,2301
Corpse Bride,7.4,6.826521912,4572
Couples Retreat,5.5,4.913459348,71668
Courage Under Fire,6.6,6.443185878,647
Courageous,6.9,6.030404326,93954
Coyote Ugly,5.7,5.188631039,3825
Cradle 2 the Grave,5.8,4.807508433,55245
Cradle Will Rock,6.8,5.854640042,1489
Crank,6.9,6.086479323,7254
Crank: High Voltage,6.1,4.80987495,7448
Crash,7.7,6.86925337,521
Crazy Heart,7.2,6.511226113,56169
"Crazy, Stupid, Love.",7.4,6.614169322,88163
Creature,5.0,4.050065022,74416
Creepshow,6.8,6.180464187,3016
Creepshow 2,6.0,5.32934959,493
Criminal,6.3,5.234021497,62
Crimson Tide,7.3,6.529613253,161
Critical Care,5.9,5.147236984,5636
Crocodile Dundee,6.6,6.810499003,72980
Crocodile Dundee in Los Angeles,4.8,3.913735025,68965
Crossover,2.2,2.096484488,5447
Cruel Intentions,6.8,6.096508512,36
Cry Freedom,7.4,7.016872698,90017
Cube,7.1,6.410906838,2232
Curious George,7.2,7.127692374,43869
Cursed,5.1,4.058526931,99957
Cutthroat Island,5.7,5.160070985,15
Cypher,6.7,6.245298098,2507
Cyrus,6.3,5.299180553,59336
D.E.B.S.,5.4,4.258659778,103596
DOA: Dead or Alive,4.8,3.948085262,50160
Daddy Day Camp,3.2,2.769567547,3423
Daddy Day Care,5.6,5.637351301,6338
Dallas Buyers Club,7.9,6.578298107,122062
Dance Flick,3.6,2.938744538,1760
"Dancer, Texas Pop. 81",6.7,6.630768586,91492
Dances with Wolves,8.0,6.916948982,6330
Dangerous Liaisons,7.5,7.128179064,7814
Dante's Peak,6.0,6.042093685,1438
Dark City,7.6,6.766476093,90645
Dark Shadows,6.2,5.241846352,94478
Dark Water,5.6,4.911311588,34143
Darkness,5.4,4.047934894,52005
Darkness Falls,5.0,3.804811941,95449
Darling Companion,5.2,4.572811364,1677
Darling Lili,6.0,5.339698953,4781
Date Movie,2.8,1.682265842,2291
Date Night,6.3,5.50450865,76293
Dawn of the Dead,7.2,6.175932789,7263
Dawn of the Planet of the Apes,7.6,6.824483334,112623
Daybreakers,6.4,5.743235521,53466
Daylight,5.9,5.359918506,798
Days of Heaven,7.7,6.827180213,1503
Days of Thunder,6.1,5.391252458,1100
Dazed and Confused,7.6,7.395019164,59392
Dead Like Me: Life After Death,6.0,4.486155094,55751
Dead Man Down,6.4,5.533912405,1227
Dead Man Walking,7.5,6.958634565,6281
Deadfall,6.2,5.242475424,76729
Deadline - U.S.A.,7.2,6.708544279,6505
Dear Frankie,7.7,7.254305223,119948
Dear John,6.3,5.045240662,224
Dear Wendy,6.5,5.460007685,55391
Death Becomes Her,6.7,6.654600339,3258
Death Race,6.4,5.539970673,61248
Death Race 2000,6.2,5.834558965,7991
Death Sentence,6.7,5.952021437,1057
Death at a Funeral,7.3,6.870431952,6078
Death to Smoochy,6.3,5.546282885,5265
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,7.1,6.182971917,108660
Deck the Halls,5.1,3.872624329,49282
Deconstructing Harry,7.3,6.27503498,55830
Decoys,4.7,4.324016255,88934
Deep Blue Sea,5.9,4.498203224,2722
Deep Impact,6.2,4.994432756,1876
Deep Rising,6.1,5.851298636,1762
Defendor,6.7,6.671813082,77800
"Definitely, Maybe",7.1,6.289471205,3189
Delgo,4.3,3.460295071,64652
Deliver Us from Evil,6.2,5.567306158,45732
Delivery Man,6.3,5.803318188,34530
Demonic,5.3,4.594361417,3954
Derailed,6.6,5.27636191,1430
Desperado,7.1,6.674877139,37741
Despicable Me,7.6,6.953344953,79091
Despicable Me 2,7.3,6.662861339,103335
Detention,5.6,4.624801564,2993
Detention of the Dead,4.5,5.438681584,117594
Deuce Bigalow: European Gigolo,4.7,3.40159225,534
Deuces Wild,5.6,4.427489367,7174
Devil,6.3,5.476022198,130462
Devil's Due,4.2,2.746331443,4453
Diamonds Are Forever,6.5,5.772648877,56367
Diary of a Wimpy Kid: Dog Days,6.3,5.650911756,106540
Diary of the Dead,5.5,4.342643177,1278
Dick Tracy,6.2,5.510429332,2616
Did You Hear About the Morgans?,4.9,3.877622497,72919
Die Another Day,6.1,4.920595849,5872
Die Hard,8.2,7.639480689,6709
Die Hard 2,7.1,6.57210331,1370
Digimon: The Movie,6.0,4.923385594,72265
Diner,7.0,6.333334037,1330
Dinner Rush,7.2,6.734981074,31689
Dinner for Schmucks,5.9,4.515804906,79428
Dinosaur,6.4,5.757425995,3615
Dirty Pretty Things,7.2,6.154997504,77667
Disaster Movie,1.9,1.531204033,71450
Disclosure,6.2,5.612061705,225
District 9,7.9,6.727645191,19
Disturbia,6.8,6.235940289,52458
Divergent,6.6,5.742326764,108190
Divine Secrets of the Ya-Ya Sisterhood,6.1,5.389525266,1372
Django Unchained,8.5,7.390272175,99114
Do the Right Thing,7.9,6.598586317,1657
Doctor Dolittle,5.4,4.966105591,2135
Doctor Zhivago,7.9,7.211869258,2003
Dogma,7.3,6.296021205,62155
Dolphin Tale,6.8,6.391184163,91886
Dolphin Tale 2,6.4,5.937856813,117194
Dom Hemingway,6.1,4.983451453,89047
Domestic Disturbance,5.6,5.068725056,4885
Domino,5.9,4.558017067,37382
Don Jon,6.5,5.921817295,1357
Don Juan DeMarco,6.7,6.318284095,1840
Don McKay,5.8,5.608661396,69821
Don't Be Afraid of the Dark,5.5,4.704640506,119206
Don't Say a Word,6.3,5.437621229,4814
Donnie Brasco,7.7,6.901351281,34336
Donnie Darko,8.0,6.826320104,4407
Donovan's Reef,6.7,6.419879781,1633
Doogal,2.8,2.063084835,116799
Doom,5.2,4.266055388,37380
